g,median_elevation,summer_temperature,precipitation,lat,max_elevation,winter_precipitation,lon,cloud_cover,continentality
3.5232,2730,21.35333333,803.93,42.47,2830,72.455,13.56,56.82583333,19.47
4.462838714,3078.428571,6.643333333,1926.9,46.45,3300,136.18,10.7,62.75041667,16.96
8.102,3005,6.643333333,1926.9,46.45,3112,136.18,10.69,62.75041667,16.96
5.802428571,3148,6.643333333,1926.9,46.45,3278,136.18,10.69,62.75041667,16.96
5.634555556,3069,6.643333333,1926.9,46.45,3272.666667,136.18,10.7,62.75041667,16.96
1.687254902,3158.75,11.085,1517.875,46.48,3376.25,87.36166667,10.77,60.9675,18.5
5.930337912,3127.666667,6.643333333,1926.9,46.46,3393.666667,136.18,10.61,62.75041667,16.96
4.537827009,2989.75,11.68333333,1550.76,46.95,3460,93.79,11.12,62.95708333,18.725
5.137730415,2780.2,11.68333333,1550.76,46.96,2995.4,93.79,11.23,62.95708333,18.725
3.280815185,2977.5,13.83333333,1483.07,46.9,3260,84.11333333,12.09,61.51958333,19.72
7.073822979,4804,20.92166667,1192.925,-0.15,4871,5.346666667,37.3,65.19666667,3.185
3.97824652,4225.892857,10.52833333,632.68,39.62,4918,73.41666667,71.56,54.54458333,26.725
2.173654774,4280,0.263333333,315.99,42.03,4980,14.93666667,80,52.25,28.275
4.383171717,4167.333333,11.98333333,311.725,41.79,4679,10.395,78.15,51.80666667,29.255
4.277922192,3908,17.38833333,410.29,42.46,4332,26.835,74.49,53.78458333,29.765
3.120430993,4151,17.20333333,340.335,41.88,4433,11.69333333,77.68,52.37958333,29.765
3.586108482,4252,11.98333333,311.725,41.83,4800,10.395,78.17,51.80666667,29.255
3.852956356,4184,11.98333333,311.725,41.79,4338.5,10.395,77.75,51.80666667,29.255
6.366459627,3559,14.055,388.15,45.1,4090,20.66,80.23,51.52166667,33.53
3.022020788,3533.5,14.055,388.15,45.08,4463.5,20.66,80.23,51.52166667,33.53
4.061586185,3802.083333,18.67666667,404.68,43.05,4219.083333,19.28,77.08,54.40916667,30.365
6.668753826,1230,12.82333333,1746.03,61.75,1380,171.1733333,5.65,73.85666667,15.35
7.654641445,1480,7.98,1310.84,61.81,1630,138.0516667,7.35,71.0775,18.855
6.296939764,1940,8.621666667,826.49,61.55,2280,69.05833333,8.5,65.99125,21.19
6.157142857,1040,8.37,990.13,68.33,1240,85.825,17.85,72.54125,23.795
9.230055508,1450,11.67666667,1508.915,60.03,1645,145.365,6.33,65.11875,18.54
2.347763933,1410,7.256666667,983.48,68.1,1540,79.67,17.99,73.41375,25.465
9.100611435,1220,8.893333333,2046.27,66.65,1587,204.99,13.85,72.01625,20.675
7.428462754,1510,11.67666667,1508.915,60.08,1660,145.365,6.39,65.11875,18.54
2.035223345,2060,8.621666667,826.49,61.65,2300,69.05833333,8.6,65.99125,21.19
7.094745136,1160,12.82333333,1746.03,61.75,1320,171.1733333,5.68,73.85666667,15.35
5.794075968,1895,8.621666667,826.49,61.56,2165,69.05833333,8.44,65.99125,21.19
7.137038196,940,11.21333333,2347.16,66.45,1165,229.93,13.63,69.94041667,19.615
6.617153859,850,10.93166667,992.32,70.12,1062,100.8016667,21.73,73.87583333,26.14
7.866029151,1619,11.15666667,1171.02,61.72,1955,130.145,7.13,69.00125,18.385
8.108960897,1340,9.98,1538.16,66.01,1750,156.865,14.29,71.27041667,22.66
8.726257701,1735,10.85166667,915.21,60.53,1875,80.295,7.36,62.20416667,20.34
4.534471235,1575,10.56,723.58,61.61,1770,78.42333333,7.46,67.27875,19.295
6.354848175,1745,7.411666667,1035.89,61.57,2020,95.40333333,8.13,67.68583333,20.325
4.872397517,1380,7.256666667,983.48,68.22,1850,79.67,17.92,73.41375,25.465
5.416716465,1040,8.893333333,2046.27,66.55,1420,204.99,13.76,72.01625,20.675
5.728992684,1050,9.071666667,1750.955,66.71,1300,175.3583333,14.44,72.06708333,21.73
5.777566593,1530,11.15666667,1171.02,61.6,1930,130.145,7.05,69.00125,18.385
5.795644169,1450,7.98,1310.84,61.84,1730,138.0516667,7.26,71.0775,18.855
4.632158137,1880,8.621666667,826.49,61.53,2200,69.05833333,8.45,65.99125,21.19
9.734027599,5220,9.238333333,1143.055,27.7,5360,16.53333333,86.57,56.105,17.315
6.549543831,5725.333333,4.735,781.685,28.82,6168.333333,27.495,83.49,55.43375,17.485
7.204110498,2023,11.28333333,4283.11,-44.07,2390,330.7866667,169.43,63.64291667,12.335
4.671221864,5134,13.25666667,789.99,-8.95,5750,4.285,-77.62,73.56791667,2.36
18.52644239,4851.111111,8.993333333,798.84,-9.65,5038.888889,3.521666667,-77.27,72.93375,2.34
5.605679754,3246.666667,11.475,992.63,43.2,3843.333333,55.93333333,42.77,60.13625,29.165
13.13509275,810,11.075,841.565,54.68,1200,72.29333333,161,75.04,27.55
1.786595247,1590,11.09,1046.215,53.23,2030,84.81333333,158.82,67.87416667,23.35
3.091790333,3250,9.533333333,420.3,50.08,4043,12.12666667,87.72,45.66166667,37.47
3.747772607,3230,9.533333333,420.3,50.04,3712,12.12666667,87.74,45.66166667,37.47
4.434340659,3000,9.533333333,420.3,50.08,3750,12.12666667,87.73,45.66166667,37.47
2.221497256,3100,9.533333333,420.3,50.1,3550,12.12666667,87.7,45.66166667,37.47
4.087323232,260,0.666666667,831.125,78.88,600,76.86833333,11.83,66.96,20.75
6.755460585,302.5,3.231666667,691.83,77.08,555,69.16833333,15.67,68.89416667,21.495
4.362644665,500,0.45,840.24,78.8,1050,78.05666667,12.98,68.2075,20.885
4.628041958,330,0.666666667,831.125,78.88,650,76.86833333,12.07,66.96,20.75
5.377666667,320,1.91,741.645,78.67,570,67.56166667,12,67.26708333,20.075
3.497522659,400,3.231666667,691.83,77.06,810,69.16833333,15.36,68.89416667,21.495
18.66391753,1610,12.10666667,1493.61,47.96,1746,197.9433333,-121.34,69.815,18.06
4.353052503,800,8.891666667,612.89,61.3,3000,41.38333333,-146.88,72.55416667,29.765
6.788566434,1840,11.45666667,200.09,63.28,2460,2.265,-145.4,69.67916667,35.625
11.47238041,1100,9.536666667,857.69,58.38,1400,72.69333333,-134.34,74.46666667,22.02
2.213939394,2030,8.53,68.645,69.29,2700,2.656666667,-143.82,66.4975,37.545
9.600580669,1920,10.655,1081.72,48.35,2145,133.345,-121.05,69.13291667,19.765
